ORIGEM 2;DESTINO 2;Motivo Agrupado;Com que frequência você faz essa viagem?;A viagem foi realizada em qual período do dia?;Modal Agrupado
São José de Ribamar;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Lazer;Muito raramente;Madrugada (00h - 5h);Carro próprio
São José de Ribamar;São Luís;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Carona com alguém
São José de Ribamar;São Luís;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Trabalho;Muito raramente;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Compras e serviços;1 a 2 vezes por semana;Tarde (12h - 18h);Ônibus
São Luís;Alcântara;Visita a amigos/familiares;Muito raramente;Madrugada (00h - 5h);Moto própria
São Luís;Alcântara;Lazer;Muito raramente;Noite (18h - 00h);Carro próprio
São Luís;Alcântara;Lazer;Muito raramente;Noite (18h - 00h);Carro próprio
São Luís;Axixá;Visita a amigos/familiares;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;Axixá;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Ônibus
São Luís;Bacabal;Visita a amigos/familiares;1 a 3 vezes por mês;Tarde (12h - 18h);Ônibus
São Luís;Bacabeira;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;Bacabeira;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;Cachoeira Grande;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
São Luís;FORA DA RMGSL;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;FORA DA RMGSL;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
São Luís;FORA DA RMGSL;Trabalho;3 a 5 vezes por semana;Tarde (12h - 18h);Carro próprio
São Luís;FORA DA RMGSL;Trabalho;Todos os dias;Manhã (5h - 12h);Moto própria
São Luís;FORA DA RMGSL;Trabalho;3 a 5 vezes por semana;Tarde (12h - 18h);Transporte Alternativo
São Luís;FORA DA RMGSL;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Trabalho;1 a 2 vezes por semana;Tarde (12h - 18h);Transporte Alternativo
São Luís;FORA DA RMGSL;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Transporte por Aplicativo
São Luís;FORA DA RMGSL;Trabalho;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;FORA DA RMGSL;Trabalho;Todos os dias;Tarde (12h - 18h);Transporte Alternativo
São Luís;FORA DA RMGSL;Visita a amigos/familiares;3 a 5 vezes por semana;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;FORA DA RMGSL;Visita a amigos/familiares;1 a 3 vezes por mês;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Compras e serviços;1 a 2 vezes por semana;Tarde (12h - 18h);Transporte Alternativo
São Luís;FORA DA RMGSL;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Ônibus
São Luís;FORA DA RMGSL;Estudo;Todos os dias;Manhã (5h - 12h);Carro próprio
São Luís;FORA DA RMGSL;Lazer;Muito raramente;Tarde (12h - 18h);Ônibus
São Luís;FORA DA RMGSL;Visita a amigos/familiares;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Lazer;Muito raramente;Madrugada (00h - 5h);Transporte por Aplicativo
São Luís;FORA DA RMGSL;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;FORA DA RMGSL;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Transporte Alternativo
São Luís;FORA DA RMGSL;Saúde (consultas médicas, exames);1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
São Luís;FORA DA RMGSL;Lazer;Muito raramente;Tarde (12h - 18h);Carona com alguém
São Luís;FORA DA RMGSL;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;FORA DA RMGSL;Saúde (consultas médicas, exames);1 a 3 vezes por mês;Manhã (5h - 12h);Carona com alguém
São Luís;FORA DA RMGSL;Trabalho;Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;FORA DA RMGSL;Lazer;Muito raramente;Madrugada (00h - 5h);Transporte Alternativo
São Luís;FORA DA RMGSL;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Transporte Alternativo
São Luís;Icatu;Saúde (consultas médicas, exames);3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;Icatu;Visita a amigos/familiares;1 a 3 vezes por mês;Tarde (12h - 18h);Carro próprio
São Luís;Icatu;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;Icatu;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;Icatu;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;Icatu;Visita a amigos/familiares;1 a 3 vezes por mês;Tarde (12h - 18h);Ônibus
São Luís;Icatu;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;Morros;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;Morros;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Transporte Alternativo
São Luís;Morros;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;Morros;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;Morros;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;Morros;Lazer;Muito raramente;Tarde (12h - 18h);Carro próprio
São Luís;Morros;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;Morros;Saúde (consultas médicas, exames);Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;Morros;Trabalho;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;Morros;Trabalho;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;Paço do Lumiar;Lazer;Muito raramente;Tarde (12h - 18h);Ônibus
São Luís;Paço do Lumiar;Trabalho;Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;Paço do Lumiar;Trabalho;1 a 3 vezes por mês;Manhã (5h - 12h);Transporte Alternativo
São Luís;Paço do Lumiar;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;Paço do Lumiar;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;Paço do Lumiar;Estudo;1 a 3 vezes por mês;Madrugada (00h - 5h);Carona com alguém
São Luís;Paço do Lumiar;Lazer;Muito raramente;Manhã (5h - 12h);Ônibus
São Luís;Paço do Lumiar;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;Paço do Lumiar;Visita a amigos/familiares;1 a 3 vezes por mês;Tarde (12h - 18h);Ônibus
São Luís;Paço do Lumiar;Trabalho;Todos os dias;Noite (18h - 00h);Transporte Alternativo
São Luís;Paço do Lumiar;Lazer;Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;Paço do Lumiar;Estudo;Todos os dias;Noite (18h - 00h);Ônibus
São Luís;FORA DA RMGSL;Trabalho;Todos os dias;Manhã (5h - 12h);Transporte Alternativo
São Luís;Raposa;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
São Luís;Raposa;Trabalho;Todos os dias;Manhã (5h - 12h);Moto própria
São Luís;Raposa;Trabalho;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;Raposa;Lazer;Muito raramente;Tarde (12h - 18h);Transporte Alternativo
São Luís;Raposa;Trabalho;1 a 2 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;Raposa;Trabalho;1 a 3 vezes por mês;Tarde (12h - 18h);Transporte Alternativo
São Luís;Raposa;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;Raposa;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;Rosário;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;Rosário;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;Rosário;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Transporte Alternativo
São Luís;Rosário;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
São Luís;Rosário;Compras e serviços;1 a 2 vezes por semana;Tarde (12h - 18h);Carro próprio
São Luís;Rosário;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;Rosário;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;Rosário;Trabalho;1 a 2 vezes por semana;Manhã (5h - 12h);Transporte Aquaviário
São Luís;Rosário;Visita a amigos/familiares;Muito raramente;Madrugada (00h - 5h);Ônibus
São Luís;Rosário;Compras e serviços;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;Santa Inês ;Saúde (consultas médicas, exames);1 a 3 vezes por mês;Manhã (5h - 12h);Carona com alguém
São Luís;Santa Inês ;Trabalho;1 a 3 vezes por mês;Manhã (5h - 12h);Transporte por Aplicativo
São Luís;Santa Rita;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;São José de Ribamar;Estudo;3 a 5 vezes por semana;Tarde (12h - 18h);Ônibus
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Tarde (12h - 18h);Carro próprio
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Transporte Alternativo
São Luís;São José de Ribamar;Visita a amigos/familiares;1 a 3 vezes por mês;Manhã (5h - 12h);Ônibus
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Transporte Alternativo
São Luís;São José de Ribamar;Trabalho;1 a 2 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;São José de Ribamar;Visita a amigos/familiares;1 a 3 vezes por mês;Madrugada (00h - 5h);Ônibus
São Luís;São José de Ribamar;Visita a amigos/familiares;1 a 3 vezes por mês;Madrugada (00h - 5h);Carro próprio
São Luís;São José de Ribamar;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Tarde (12h - 18h);Carro próprio
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;São José de Ribamar;Lazer;1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
São Luís;São José de Ribamar;Visita a amigos/familiares;1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
São Luís;São José de Ribamar;Saúde (consultas médicas, exames);Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;São José de Ribamar;Trabalho;Todos os dias;Manhã (5h - 12h);Ônibus
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São Luís;São José de Ribamar;Lazer;Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;São José de Ribamar;Trabalho;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;São José de Ribamar;Lazer;Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;São José de Ribamar;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;São José de Ribamar;Trabalho;Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;São José de Ribamar;Trabalho;1 a 2 vezes por semana;Tarde (12h - 18h);Transporte Aquaviário
São Luís;São José de Ribamar;Visita a amigos/familiares;Muito raramente;Noite (18h - 00h);Ônibus
São Luís;São José de Ribamar;Trabalho;1 a 2 vezes por semana;Manhã (5h - 12h);Carro próprio
São Luís;São Luís;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Ônibus
São Luís;São Luís;Compras e serviços;1 a 2 vezes por semana;Tarde (12h - 18h);Transporte Alternativo
São Luís;São Luís;Lazer;Muito raramente;Tarde (12h - 18h);Carona com alguém
São Luís;São Luís;Saúde (consultas médicas, exames);Muito raramente;Manhã (5h - 12h);Transporte Alternativo
São Luís;São Luís;Trabalho;Muito raramente;Manhã (5h - 12h);Carro próprio
São Luís;São Luís;Trabalho;1 a 3 vezes por mês;Tarde (12h - 18h);Moto própria
São Luís;São Luís;Trabalho;3 a 5 vezes por semana;Tarde (12h - 18h);Carro próprio
São Luís;São Luís;Compras e serviços;Muito raramente;Manhã (5h - 12h);Transporte Alternativo
São Luís;São Luís;Lazer;Muito raramente;Tarde (12h - 18h);Ônibus
São Luís;São Luís;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carona com alguém
São Luís;São Luís;Trabalho;Todos os dias;Manhã (5h - 12h);Moto própria
