ORIGEM	DESTINO	Faixa Et†ria	Escolaridade	Renda Familiar	Periodo do dia	Motivo	Principal Modal	Fez Integraá∆o?	Se sim, qual modal?	Tempo de Viagem	Frequància
Ros†rio	Ros†rio	18 a 24 anos	Ensino Fundamental completo	Prefiro n∆o dizer	Tarde (12h - 18h)	Estudo	‚nibus	NAO	‚nibus	Entre 30 min e 1h	Diariamente
Ros†rio	Santo Amaro	Menos de 18 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Madrugada (00h - 5h)	Lazer / Turismo	‚nibus	NAO		Maior que 2h	Raramente
Ros†rio	S∆o Lu°s - Bancaga	18 a 24 anos	Ensino Superior incompleto	Prefiro n∆o dizer	Tarde (12h - 18h)	Estudo	‚nibus	NAO		Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Bancaga	18 a 24 anos	Ensino Superior incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Bancaga	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Tarde (12h - 18h)	Estudo	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Bancaga	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Tarde (12h - 18h)	Estudo	‚nibus	SIM	T Alternativo - Van	Maior que 2h	Diariamente
Ros†rio	S∆o Lu°s - Bancaga	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Maior que 2h	Semanalmente
Ros†rio	S∆o Lu°s - Centro	18 a 24 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Outros	‚nibus	NAO	‚nibus	Maior que 2h	Raramente
Ros†rio	S∆o Lu°s - Centro	Menos de 18 anos	Ensino MÇdio completo	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Lazer / Turismo	‚nibus	SIM	T Alternativo - Van	Entre 30 min e 1h	Raramente
Ros†rio	S∆o Lu°s - Centro	Menos de 18 anos	Ensino MÇdio completo	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Lazer / Turismo	‚nibus	SIM	T Alternativo - Van	Entre 1 e 1h30	Raramente
Ros†rio	S∆o Lu°s - Centro	Menos de 18 anos	Ensino Fundamental completo	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	‚nibus	Maior que 2h	Diariamente
Ros†rio	S∆o Lu°s - Centro	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Maior que 2h	Semanalmente
Ros†rio	S∆o Lu°s - Centro	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Noite (18h - 00h)	Estudo	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Raramente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	Prefiro n∆o dizer	Tarde (12h - 18h)	Estudo	‚nibus	SIM	T Alternativo - Carro (carrinho)	Maior que 2h	2 a 3 vezes ao màs
Ros†rio	S∆o Lu°s - Cidade Oper†ria	60 anos ou mais	Ensino MÇdio completo	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	A pÇ	Entre 1 e 1h30	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	25 a 34 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Entre 1h30 e 2h	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior completo ou mais	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	‚nibus	NAO		Entre 1h30 e 2h	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	‚nibus	Entre 1 e 1h30	Raramente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	Carona com alguÇm	Entre 1 e 1h30	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Entre 1h30 e 2h	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Entre 1 e 1h30	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Entre 1h30 e 2h	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO	Carona com alguÇm	Entre 1 e 1h30	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	35 a 44 anos	Ensino Fundamental completo	Prefiro n∆o dizer	Manh∆ (5h - 12h)	Outros	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	25 a 34 anos	Ensino Superior incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	NAO		Entre 1h30 e 2h	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cohab	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cohab	35 a 44 anos	Ensino Superior completo ou mais	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	SIM	‚nibus	Maior que 2h	Diariamente
Ros†rio	S∆o Lu°s - Zona Industrial	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	‚nibus	NAO		Entre 1h30 e 2h	Diariamente
Ros†rio	Cachoeira Grande	25 a 34 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Carro (carrinho)	NAO	T Alternativo - Carro (carrinho)	Entre 30 min e 1h	Diariamente
Ros†rio	Morros	45 a 59 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Madrugada (00h - 5h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Carro (carrinho)	NAO		Entre 1h30 e 2h	Raramente
Ros†rio	Raposa	45 a 59 anos	Ensino Fundamental incompleto	Prefiro n∆o dizer	Madrugada (00h - 5h)	Trabalho	T Alternativo - Carro (carrinho)	SIM	‚nibus	Maior que 2h	Diariamente
Ros†rio	S∆o JosÇ de Ribamar	25 a 34 anos	Ensino Superior completo ou mais	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Carro (carrinho)	SIM	Transporte por aplicativo (Uber, 99)	Maior que 2h	Diariamente
Ros†rio	S∆o Lu°s - Centro	45 a 59 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Carro (carrinho)	SIM	‚nibus	Entre 1h30 e 2h	2 a 3 vezes ao màs
Ros†rio	S∆o Lu°s - Centro	25 a 34 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Madrugada (00h - 5h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Carro (carrinho)	SIM	‚nibus	Maior que 2h	2 a 3 vezes ao màs
Ros†rio	S∆o Lu°s - Cohab	60 anos ou mais	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Carro (carrinho)	NAO	T Alternativo - Carro (carrinho)	Entre 1h30 e 2h	2 a 3 vezes ao màs
Ros†rio	Axix†	25 a 34 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO	T Alternativo - Van	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Centro	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	T Alternativo - Van	SIM	‚nibus	Entre 1 e 1h30	Diariamente
Ros†rio	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Van	SIM	‚nibus	Maior que 2h	Semanalmente
Ros†rio	S∆o Lu°s - Centro	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Tarde (12h - 18h)	Compras (ComÇrcio)	T Alternativo - Van	SIM	‚nibus	Entre 1h30 e 2h	1 a 2 vezes por semana
Ros†rio	S∆o Lu°s - Centro	45 a 59 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	NAO		Entre 1h30 e 2h	Raramente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	25 a 34 anos	Ensino Superior completo ou mais	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	T Alternativo - Van	SIM	‚nibus	Entre 1h30 e 2h	3 a 5 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Estudo	T Alternativo - Van	NAO	‚nibus	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	25 a 34 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO		Entre 1 e 1h30	1 a 2 vezes por semana
Ros†rio	S∆o Lu°s - Cidade Oper†ria	35 a 44 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO	T Alternativo - Van	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO	T Alternativo - Van	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO	T Alternativo - Van	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	60 anos ou mais	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO	T Alternativo - Van	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cohab	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	SIM	‚nibus	Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Zona Industrial	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	NAO		Entre 1h30 e 2h	Diariamente
Ros†rio	S∆o Lu°s - Cidade Oper†ria	35 a 44 anos	Ensino Superior completo ou mais	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	Transporte por aplicativo (Uber, 99)	NAO		Entre 30 min e 1h	Raramente
Ros†rio 	S∆o Lu°s - Centro	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	NAO		Entre 1h30 e 2h	Raramente
Santa Inàs	S∆o Lu°s - Centro	18 a 24 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Tarde (12h - 18h)	Sa£de (consultas mÇdicas, exames)	Carro pr¢prio	NAO	Transporte por aplicativo (Uber, 99)	Entre 15 e 30 min	Raramente
Santa Rita	Icatu	45 a 59 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO		Entre 1 e 1h30	3 a 5 vezes por semana
Santa Rita	Ros†rio	18 a 24 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	Carro pr¢prio	NAO		Entre 1 e 1h30	Diariamente
Santa Rita	Santa Rita	35 a 44 anos	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	Moto-t†xi	SIM	Moto-t†xi	Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	Moto-t†xi	NAO	Moto-t†xi	Entre 30 min e 1h	1 a 2 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	Moto-t†xi	NAO		Entre 15 e 30 min	1 a 2 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino Fundamental incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	18 a 24 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Trabalho	Moto-t†xi	NAO		Menos de 15 min	Diariamente
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	18 a 24 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	Moto-t†xi	NAO		Entre 30 min e 1h	3 a 5 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	25 a 34 anos	Ensino Fundamental incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	18 a 24 anos	Ensino Fundamental incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Compras (ComÇrcio)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	18 a 24 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	Moto-t†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	45 a 59 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Compras (ComÇrcio)	Moto-t†xi	SIM	Moto-t†xi	Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	60 anos ou mais	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	60 anos ou mais	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	Moto-t†xi	NAO		Entre 30 min e 1h	2 a 3 vezes ao màs
Santa Rita	S∆o Lu°s - Bancaga	35 a 44 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Tarde (12h - 18h)	Estudo	‚nibus	SIM	T Alternativo - Van	Maior que 2h	3 a 5 vezes por semana
Santa Rita	S∆o Lu°s - Cidade Oper†ria	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Estudo	‚nibus	SIM	T Alternativo - Van	Entre 1 e 1h30	1 a 2 vezes por semana
Santa Rita	S∆o Lu°s - Cohab	25 a 34 anos	Ensino Superior incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	‚nibus	NAO		Entre 1 e 1h30	Raramente
Santa Rita	S∆o Lu°s - Cidade Oper†ria	Menos de 18 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Carro (carrinho)	NAO		Entre 1h30 e 2h	Raramente
Santa Rita	S∆o Lu°s - Cohab	35 a 44 anos	Ensino Superior completo ou mais	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Carro (carrinho)	NAO		Entre 1h30 e 2h	Raramente
Santa Rita	Araguan∆ 	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	NAO		Maior que 2h	2 a 3 vezes ao màs
Santa Rita	Itapecuru mirim 	25 a 34 anos	Ensino MÇdio completo	Entre 2 e 4 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Van	NAO		Entre 30 min e 1h	Raramente
Santa Rita	Morros	45 a 59 anos	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Tarde (12h - 18h)	Serviáos (Cart¢rio, Detran, etc...)	T Alternativo - Van	NAO		Entre 1 e 1h30	Raramente
Santa Rita	Pedreiras	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Outros	T Alternativo - Van	NAO		Maior que 2h	Raramente
Santa Rita	Ros†rio	45 a 59 anos	Ensino Fundamental completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Van	NAO	Carona com alguÇm, Moto-t†xi	Entre 1 e 1h30	Raramente
Santa Rita	Santa Inàs 	45 a 59 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	NAO		Maior que 2h	2 a 3 vezes ao màs
Santa Rita	Santa Rita	45 a 59 anos	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Van	NAO		Menos de 15 min	1 a 2 vezes por semana
Santa Rita	Santa Rita	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	SIM	T†xi	Entre 1 e 1h30	2 a 3 vezes ao màs
Santa Rita	Santa Rita	45 a 59 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Van	SIM	T†xi	Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Van	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
Santa Rita	Santa Rita	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	SIM	T†xi	Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	45 a 59 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	SIM	T†xi	Entre 1 e 1h30	2 a 3 vezes ao màs
Santa Rita	Santa Rita	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	SIM	Moto-t†xi	Entre 1 e 1h30	3 a 5 vezes por semana
Santa Rita	S∆o JosÇ de Ribamar	18 a 24 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T Alternativo - Van	SIM	T†xi	Entre 1 e 1h30	2 a 3 vezes ao màs
Santa Rita	S∆o Lu°s - Centro	60 anos ou mais	Ensino Fundamental completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	SIM	T†xi	Maior que 2h	2 a 3 vezes ao màs
Santa Rita	S∆o Lu°s - Centro	45 a 59 anos	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Trabalho	T Alternativo - Van	SIM	‚nibus, T Alternativo - Carro (carrinho)	Entre 1h30 e 2h	3 a 5 vezes por semana
Santa Rita	S∆o Lu°s - Cohab	25 a 34 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Sa£de (consultas mÇdicas, exames)	T Alternativo - Van	SIM	T†xi	Entre 1 e 1h30	Raramente
Santa Rita	S∆o Lu°s - Cohama	35 a 44 anos	Ensino Superior completo ou mais	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T Alternativo - Van	NAO		Entre 1 e 1h30	Raramente
Santa Rita	Itapecuru mirim 	45 a 59 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T†xi	NAO		Entre 1 e 1h30	3 a 5 vezes por semana
Santa Rita	Itapecuru mirim 	35 a 44 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T†xi	NAO		Entre 1 e 1h30	2 a 3 vezes ao màs
Santa Rita	Itapecuru mirim 	45 a 59 anos	Ensino MÇdio completo	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Lazer / Turismo	T†xi	NAO		Entre 1 e 1h30	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio completo	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	35 a 44 anos	Ensino Fundamental incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Compras (ComÇrcio)	T†xi	NAO		Entre 30 min e 1h	2 a 3 vezes ao màs
Santa Rita	Santa Rita	18 a 24 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T†xi	NAO		Menos de 15 min	1 a 2 vezes por semana
Santa Rita	Santa Rita	18 a 24 anos	Ensino MÇdio incompleto	AtÇ 1 sal†rio m°nimo	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T†xi	NAO		Entre 15 e 30 min	2 a 3 vezes ao màs
Santa Rita	Santa Rita	25 a 34 anos	Ensino MÇdio incompleto	Entre 1 e 2 sal†rios m°nimos	Manh∆ (5h - 12h)	Serviáos (Cart¢rio, Detran, etc...)	T†xi	NAO		Entre 15 e 30 min	3 a 5 vezes por semana
