Carimbo de data/hora;Qual sua faixa etária?;Qual seu nível de escolaridade?;Qual sua renda familiar mensal?;A sua última viagem intermunicipal (entre municípios) foi:;A viagem foi realizada em qual período do dia?;Qual o motivo da viagem?;Motivo Agrupado;Qual o município de ORIGEM;Qual o município de DESTINO;Qual foi o principal meio de transporte que você usou?;Modal Agrupado;Quanto tempo durou a viagem?;Com que frequência você faz essa viagem?
2025/03/14 2:49:39 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Icatu;Ônibus;Ônibus;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/03/14 2:54:22 PM GMT-3;18 a 24 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Icatu;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Todos os dias
2025/03/14 3:01:50 PM GMT-3;18 a 24 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;FORA DA RMGSL;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
2025/03/14 3:03:14 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Estudo;Estudo;São Luís;FORA DA RMGSL;Carro próprio;Carro próprio;Entre 15 e 30 minutos;Todos os dias
2025/03/14 3:03:37 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;São Luís;FORA DA RMGSL;Ônibus;Ônibus;Entre 30 e 60 minutos;Muito raramente
2025/03/14 3:03:59 PM GMT-3;35 a 44 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;FORA DA RMGSL;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Todos os dias
2025/03/14 3:08:32 PM GMT-3;45 a 59 anos;Ensino Médio incompleto;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);Cachoeira Grande;Morros;Ônibus;Ônibus;Entre 30 e 60 minutos;1 a 3 vezes por mês
2025/03/14 3:09:18 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;Raposa;Morros;Carona com alguém;Carona com alguém;Entre 1 e 2 horas;Muito raramente
2025/03/14 3:17:56 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Morros;Ônibus;Ônibus;Entre 1 e 2 horas;Todos os dias
2025/03/14 3:18:40 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Morros;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
